¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2356,	ANV132X2C021A       ,	2200,	UTC1000S    ,	20211025-A-ANV132X2C021A-2200-Criteria  ,	20211025,	175320,
2357,	AAB084CC9002A       ,	2200,	UTC5000S    ,	20211025-A-AAB084CC9002A-2200-Criteria  ,	20211025,	182143,
2358,	AAB084CC9002A       ,	2200,	MAXUM-PLUS  ,	20211025-A-AAB084CC9002A-2200-Criteria  ,	20211025,	182143,
2359,	AAB084CC9002A       ,	2200,	RAPID       ,	20211025-A-AAB084CC9002A-2200-Criteria  ,	20211025,	182143,
2360,	ANV153XT9083A       ,	2200,	RAPID       ,	20211025-A-ANV153XT9083A-2200-Criteria  ,	20211025,	184245,
2361,	ALW152N31017A       ,	2200,	UTC1000S    ,	20211025-A-ALW152N31017A-2200-Criteria  ,	20211025,	190239,
2362,	ABU008YM2002A       ,	2200,	MAXUM-PLUS  ,	20211025-A-ABU008YM2002A-2200-Criteria  ,	20211025,	192637,
2363,	ABU008YM2002A       ,	2200,	MAXUM       ,	20211025-A-ABU008YM2002A-2200-Criteria  ,	20211025,	192637,
2364,	ABU008YM2002A       ,	2200,	ICONN-PLUS  ,	20211025-A-ABU008YM2002A-2200-Criteria  ,	20211025,	192637,
2365,	AMS078C91003A       ,	2200,	UTC1000S    ,	20211025-A-AMS078C91003A-2200-Criteria  ,	20211025,	193949,
2366,	AMS078C91003A       ,	2200,	UTC2000     ,	20211025-A-AMS078C91003A-2200-Criteria  ,	20211025,	193949,
2367,	AMS078C91003A       ,	2200,	UTC3000     ,	20211025-A-AMS078C91003A-2200-Criteria  ,	20211025,	193949,
2368,	AMS078C91003A       ,	2200,	MAXUM-PLUS  ,	20211025-A-AMS078C91003A-2200-Criteria  ,	20211025,	193949,
2369,	AMS078C91003A       ,	2200,	MAXUM       ,	20211025-A-AMS078C91003A-2200-Criteria  ,	20211025,	193949,
2370,	BU048MW2003B        ,	2200,	UTC1000S    ,	20211025-A-BU048MW2003B-2200-Criteria   ,	20211025,	193955,
2371,	BU048MW2005C        ,	2200,	UTC1000S    ,	20211025-A-BU048MW2005C-2200-Criteria   ,	20211025,	202634,
2372,	AAB096EF3001A       ,	2200,	UTC1000S    ,	20211031-B-AAB096EF3001A-2200-Criteria  ,	20211031,	192031,
2373,	ASS153XT9007A       ,	2200,	ICONN       ,	20211025-B-ASS153XT9007A-2200-Criteria  ,	20211025,	221215,
2374,	AMS048TW1057A       ,	2200,	UTC2000     ,	20211026-A-AMS048TW1057A-2200-Criteria  ,	20211025,	230600,
2375,	AMS060NR1003A       ,	2200,	UTC1000S    ,	20211027-A-AMS060NR1003A-2200-Criteria  ,	20211027,	224807,
2376,	AAB008Y62019A       ,	2200,	MAXUM       ,	AAB008Y62019A-2200-Criteria             ,	20201208,	125509,
2377,	AAW064MR1008B       ,	2200,	UTC1000S    ,	AAW064MR1008B-2200-Criteria             ,	20211026,	2812,
2378,	AAW064MR1008B       ,	2200,	UTC2000     ,	AAW064MR1008B-2200-Criteria             ,	20211026,	2812,
2379,	AZA0086A1002A       ,	2200,	MAXUM       ,	20211029-B-AZA0086A1002A-2200-Criteria  ,	20211029,	112700,
2380,	AZA0086A1002A       ,	2200,	ICONN       ,	20211029-B-AZA0086A1002A-2200-Criteria  ,	20211029,	112700,
2381,	ANI010YK3005A       ,	2200,	MAXUM       ,	20211026-C-ANI010YK3005A-2200-Criteria  ,	20211026,	155141,
2382,	AAB162KE1010A       ,	2200,	UTC5000S    ,	20211026-G-AAB162KE1010A-2200-Criteria  ,	20211026,	135435,
2383,	AYS048TR2006A       ,	2200,	UTC1000S    ,	20211027-B-AYS048TR2006A-2200-Criteria  ,	20211027,	104355,
2384,	AAB096EL1019A       ,	2200,	UTC1000S    ,	20211026-A-AAB096EL1019A-2200-Criteria  ,	20211026,	142754,
2385,	ANV132X2C092A       ,	2200,	UTC1000S    ,	20211027-B-ANV132X2C092A-2200-Criteria  ,	20211027,	113931,
2386,	AYZ084CC2003A       ,	2200,	UTC1000S    ,	AYZ084CC2003A-2200-Criteria             ,	20211027,	1935,
2387,	AYZ084CC2003A       ,	2200,	UTC2000     ,	AYZ084CC2003A-2200-Criteria             ,	20211027,	1935,
2388,	AYZ084CC2003A       ,	2200,	UTC3000     ,	AYZ084CC2003A-2200-Criteria             ,	20211027,	1935,
2389,	ANI010YK3003A       ,	2200,	MAXUM       ,	ANI010YK3003A-2200-Criteria             ,	20201208,	151808,
2390,	AYZ084CC2003A       ,	2200,	MAXUM-PLUS  ,	AYZ084CC2003A-2200-Criteria             ,	20211027,	1935,
2391,	AYZ084CC2003A       ,	2200,	MAXUM       ,	AYZ084CC2003A-2200-Criteria             ,	20211027,	1935,
