pkg_type,process_id,version,detail_id,remark,
	T,	0343A010       ,	 C,	S32000102,	A0803CB1094(KNS)                        ,
	T,	0445T007       ,	 B,	S22000102,	A0803CB1326(KNS)                        ,
	T,	0445T007       ,	 B,	S32000102,	A0803CB1326(KNS)                        ,
	T,	0225H003       ,	 A,	S22000102,	A0801CB1218(UTC)                        ,
	T,	0225H003       ,	 A,	S22000102,	A0803CB1218(KNS)                        ,
	T,	0345V008       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0345V008       ,	 B,	S32000102,	A0803CB1294(KNS)                        ,
	T,	132NY052       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	078EP001       ,	 F,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP001       ,	 F,	S22000102,	A0803CB1264(KNS)                        ,
	T,	132NY069       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132NY069       ,	 B,	S22000102,	A0803CB1176(KNS)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0801CB1264(UTC)                        ,
	T,	078EP006       ,	 E,	S22000102,	A0803CB1264(KNS)                        ,
	T,	048TW555       ,	 D,	S22000102,	A0801CB0616(UTC)                        ,
	T,	048TW513       ,	 F,	S22000102,	A0801CB1156 (UTC)                       ,
	T,	048TW513       ,	 F,	S22000102,	A0803CB1156 (KNS)                       ,
	T,	048TW440       ,	 G,	S22000102,	A0801CB1150(UTC)                        ,
	T,	078EN003       ,	 H,	S22000102,	A0801CB1169(UTC)                        ,
	T,	078EN003       ,	 H,	S22000102,	A0803CB1169(KNS)                        ,
	T,	048TW502       ,	 E,	S22000102,	A0801CB0731                             ,
	T,	048TW528       ,	 C,	S22000102,	A0801CB1154(UTC)                        ,
	T,	048TW528       ,	 C,	S22000102,	A0803CB1154(KNS)                        ,
	T,	153XT097       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0086A111       ,	 F,	S22000102,	A0803CB1212(KNS)                        ,
	T,	036RP001       ,	 F,	S22000102,	A0801CB1314(UTC)                        ,
	T,	153XT095       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	048XV001       ,	 F,	S22000102,	A0801CB0514(UTC)                        ,
	T,	008YQ104       ,	 J,	S22000102,	A0803CB1174(KNS)                        ,
	T,	008YQ120       ,	 G,	S22000102,	A0803CB1174(KNS)                        ,
	T,	048TP192       ,	 D,	S22000102,	A0801CB0874 (UTC)                       ,
	T,	024MA176       ,	 B,	S22000102,	A0801CB1129(UTC)                        ,
	T,	008YD104       ,	 H,	S22000102,	A0803CB0635(KNS)                        ,
	T,	008YD105       ,	 F,	S22000102,	A0803CB0635(KNS)                        ,
	T,	008YQ144       ,	 F,	S22000102,	A0803CB1174(KNS)                        ,
	T,	008YQ125       ,	 J,	S22000102,	A0803CB1050(KNS)                        ,
	T,	008YQ125       ,	 J,	S32000102,	A0803CB1174(KNS)                        ,
	T,	008YQ119       ,	 K,	S22000102,	A0803CB1174(KNS)                        ,
	T,	008YD107       ,	 F,	S22000102,	A0803CB0635(KNS)                        ,
	T,	008YD103       ,	 J,	S22000102,	A0803CB1034(KNS)                        ,
	T,	008YM153       ,	 F,	S22000102,	A0803CB1069(KNS)                        ,
	T,	024MA169       ,	 C,	S22000102,	A0801CB1057(UTC)                        ,
	T,	066TS030       ,	 B,	S22000102,	A0803CB0800(KNS)                        ,
	T,	084UC202       ,	 B,	S22000102,	A0801CB0660(UTC)                        ,
	T,	084UC202       ,	 B,	S22000102,	A0803CB0660(KNS)                        ,
	T,	008YM157       ,	 J,	S22000102,	A0803CB0918(KNS)                        ,
	T,	008YD098       ,	 H,	S22000102,	A0803CB1020(KNS)                        ,
	T,	008YB047       ,	 D,	S22000102,	A0803CB0783(KNS)                        ,
	T,	096EL076       ,	 G,	S22000102,	A0801CB1331                             ,
	T,	024XW006       ,	 A,	S22000102,	A0801CB1190(UTC)                        ,
	T,	024XW006       ,	 A,	S32000102,	A0801CB1190(UTC)                        ,
	T,	024XW006       ,	 A,	S34000102,	A0801CB1190(UTC)                        ,
	T,	024XW006       ,	 A,	S36000102,	A0801CB1190(UTC)                        ,
	T,	024MA245       ,	 A,	S22000102,	A0801CB1057(UTC)                        ,
	T,	024MA245       ,	 A,	S22000102,	A0803CB1057(KNS)                        ,
	T,	096EL097       ,	 A,	S22000102,	A0801CB1331(UTC)                        ,
	T,	096EL097       ,	 A,	S22000102,	A0803CB1331(KNS)                        ,
	T,	048TW396       ,	 H,	S22000102,	A0801CB0864                             ,
	T,	024MA105       ,	 E,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	008Y6076       ,	 F,	S22000102,	A0803CB0913(KNS)                        ,
	T,	084UC193       ,	 F,	S22000102,	A0801CB1250(UTC)                        ,
	T,	084UC193       ,	 F,	S22000102,	A0803CB1250(KNS)                        ,
	T,	060EM005       ,	 A,	S22000102,	A0801CB1291(UTC)                        ,
	T,	060EM005       ,	 A,	S22000102,	A0803CB1291(KNS)                        ,
	T,	090NC086       ,	 G,	S22000102,	A0801CB0744(UTC)                        ,
	T,	084UC200       ,	 E,	S22000102,	A0803CB1017 (KNS)                       ,
	T,	008YM129       ,	 F,	S22000102,	A0803CB1069(KNS)                        ,
	T,	008YQ159       ,	 D,	S22000102,	A0803CB1168(KNS)                        ,
	T,	008YQ132       ,	 L,	S22000102,	A0803CB1228(KNS)                        ,
	T,	008YD124       ,	 C,	S22000102,	A0803CB0635(KNS)                        ,
	T,	084UC096       ,	 K,	S22000102,	A0803CB0785                             ,
	T,	008YM107       ,	 G,	S22000102,	A0803CB0832(KNS)                        ,
	T,	024XJ049       ,	 N,	S22000102,	A0801CB0871(UTC)                        ,
	T,	024XJ049       ,	 N,	S22000102,	A0803CB0871(KNS)                        ,
	T,	024XJ049       ,	 N,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024XJ049       ,	 N,	S32000102,	A0803CB0871(KNS)                        ,
	T,	008Y6087       ,	 G,	S22000102,	A0803CB0926(KNS)                        ,
	T,	008Y6097       ,	 D,	S22000102,	A0803CB0926(KNS)                        ,
	T,	024MA140       ,	 D,	S22000102,	A0801CB0700(UTC)                        ,
	T,	048TP090ENG    ,	 F,	S22000102,	A0801CB1173(UTC)                        ,
	T,	048TP321       ,	 A,	S22000102,	A0801CB1346(UTC)                        ,
	T,	048TP321       ,	 A,	S22000102,	A0803CB1346(KNS)                        ,
	T,	054MF020       ,	 B,	S22000102,	A0801CB1193(UTC)                        ,
	T,	200N7043       ,	 A,	S22000102,	A0801CB1371(UTC)                        ,
	T,	200N7043       ,	 A,	S22000102,	A0803CB1371(KNS)                        ,
	T,	084XU012       ,	 I,	S22000102,	A0801CB0486 (UTC)                       ,
	T,	084XU012       ,	 I,	S22000102,	A0803CB1324 (KNS)                       ,
	T,	084XU012       ,	 I,	S32000102,	A0801CB0486 (UTC)                       ,
	T,	084XU012       ,	 I,	S32000102,	A0803CB1324 (KNS)                       ,
	T,	084UC028       ,	 M,	S22000102,	A0801CB0641                             ,
	T,	048MA366       ,	 D,	S22000102,	A0801CB1057                             ,
	T,	054TN117       ,	 F,	S22000102,	A0801CB0756(UTC)                        ,
	T,	054TN117       ,	 F,	S22000102,	A0803CB0756(KNS)                        ,
	T,	252X0003       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	252X0003       ,	 C,	S22000102,	A0803CB1176(KNS)                        ,
	T,	252X0003       ,	 C,	S32000102,	A0801CB1176(UTC)                        ,
	T,	252X0003       ,	 C,	S32000102,	A0803CB1176(KNS)                        ,
	T,	0415L007       ,	 C,	S22000102,	A0803CB1253(KNS)                        ,
	T,	0442J013       ,	 C,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J013       ,	 C,	S32000102,	A0803CB1181(KNS)                        ,
	T,	0445T009       ,	 A,	S22000102,	A0803CB1326(KNS)                        ,
	T,	0445T009       ,	 A,	S32000102,	A0803CB1326(KNS)                        ,
	T,	0225N003       ,	 C,	S22000102,	A0803CB1267                             ,
	T,	078EN015       ,	 E,	S22000102,	A0801CB1338(UTC)                        ,
	T,	078EN015       ,	 E,	S22000102,	A0803CB1338(KNS)                        ,
	T,	096EC009       ,	 Q,	S22000102,	A0801CB0824 (UTC)                       ,
	T,	096EC009       ,	 Q,	S22000102,	A0803CB0824 (KNS)                       ,
