OPER,CUST,B/D#,MODEL,G.UPH
2200,ChipMOS,AAS008FG1003A,ICONN,1211.3686
2200,ChipMOS,AAS008FG1003A,ICONN-PLUS,1294.1051
2200,ChipMOS,AAS008FG1003A,RAPID,1383.6334
2200,ChipMOS,AAS008FG1003A,MAXUM-PLUS,1058.2492
2200,ENG,AAS008FG1034A,,0.0000
2200,ENG,AAS008FG1034A,,0.0000
2200,ENG,AAS008FG1034A,,0.0000
2200,ENG,AAS008FG1034A,,0.0000
2200,ENG,AAS008FG1034A,,0.0000
2200,ENG,AAS008FG1034A,,0.0000
2200,ENG,AAS008FG1034A,,0.0000
2200,WINBOND,AAB008Y62014A,RAPID,1446.6071
2200,WINBOND,AAB008Y62014A,MAXUM,1071.8810
2200,WINBOND,AAB008Y62014A,MAXUM-BASE,1220.9260
2200,WINBOND,AAB008Y62014A,MAXUM-PLUS,1309.7664
2200,WINBOND,AAB008Y62014A,MAXUM-CU,0.0000
2200,WINBOND,AAB008Y62014A,ICONN,1622.6583
2200,WINBOND,AAB008Y62014A,ICONN-PLUS,1622.6583
2200,ChipMOS,AAB008Y62010A,MAXUM-BASE,1026.0556
2200,ChipMOS,AAB008Y62010A,MAXUM-PLUS,1005.9851
2200,ChipMOS,AAB008Y62010A,ICONN,1281.7857
2200,ChipMOS,AAB008Y62010A,MAXUM,1091.3781
2200,ChipMOS,AAB008Y62010A,ICONN-PLUS,1169.3696
2200,ChipMOS,AAB008Y62010A,MAXUM-CU,0.0000
2200,ChipMOS,AAB008Y62010A,RAPID,1208.6289
2200,WINBOND,AAB008Y62010A,RAPID,1208.6289
2200,WINBOND,AAB008Y62010A,MAXUM-CU,0.0000
2200,WINBOND,AAB008Y62010A,MAXUM,1091.3781
2200,WINBOND,AAB008Y62010A,ICONN-PLUS,1169.3696
2200,WINBOND,AAB008Y62010A,ICONN,1281.7857
2200,WINBOND,AAB008Y62010A,MAXUM-PLUS,1005.9851
2200,WINBOND,AAB008Y62010A,MAXUM-BASE,1026.0556
2200,MXIC,AAW008Y62014A,ICONN,1359.2180
2200,MXIC,AAW008Y62014A,MAXUM,1184.7633
2200,MXIC,AAW008Y62014A,MAXUM-CU,0.0000
2200,MXIC,AAW008Y62014A,MAXUM-PLUS,1136.1550
2200,MXIC,AAW008Y62014A,ICONN-PLUS,1359.2180
2200,MXIC,AAW008Y62014A,MAXUM-BASE,1026.0556
2200,ChipMOS,AAW008Y62014A,MAXUM-PLUS,1136.1550
2200,ChipMOS,AAW008Y62014A,ICONN-PLUS,1359.2180
2200,ChipMOS,AAW008Y62014A,RAPID,1482.3467
2200,ChipMOS,AAW008Y62014A,MAXUM-BASE,1026.0556
2200,MXIC,AAW008Y62014A,RAPID,1482.3467
2200,ChipMOS,AAW008Y62014A,ICONN,1359.2180
2200,ChipMOS,AAW008Y62014A,MAXUM,1184.7633
2200,ChipMOS,AAW008Y62014A,MAXUM-CU,0.0000
2200,MXIC,AAW008Y62015A,ICONN,0.0000
2200,MXIC,AAW008Y62015A,MAXUM-BASE,0.0000
2200,MXIC,AAW008Y62015A,RAPID,1084.8008
2200,MXIC,AAW008Y62015A,ICONN-PLUS,0.0000
2200,MXIC,AAW008Y62015A,MAXUM-PLUS,909.4166
2200,MXIC,AAW008Y62015A,MAXUM-CU,0.0000
2200,MXIC,AAW008Y62015A,MAXUM,833.6070
2200,ChipMOS,AAW008Y62015A,MAXUM-BASE,0.0000
2200,ChipMOS,AAW008Y62015A,ICONN-PLUS,0.0000
2200,ChipMOS,AAW008Y62015A,MAXUM-PLUS,909.4166
2200,ChipMOS,AAW008Y62015A,RAPID,1084.8008
2200,ChipMOS,AAW008Y62015A,MAXUM,833.6070
2200,ChipMOS,AAW008Y62015A,MAXUM-CU,0.0000
2200,ChipMOS,AAW008Y62015A,ICONN,0.0000
2200,MXIC,AAW008Y62016A,RAPID,1305.0184
2200,MXIC,AAW008Y62016A,ICONN-PLUS,1349.0312
2200,MXIC,AAW008Y62016A,ICONN,0.0000
2200,MXIC,AAW008Y62016A,MAXUM-PLUS,1136.1550
2200,MXIC,AAW008Y62016A,MAXUM,1188.6752
2200,MXIC,AAW008Y62016A,MAXUM-BASE,0.0000
2200,MXIC,AAW008Y62016A,MAXUM-CU,0.0000
2200,ChipMOS,AAW008Y62017A,RAPID,0.0000
2200,ChipMOS,AAW008Y62017A,ICONN-PLUS,1359.2180
2200,ChipMOS,AAW008Y62017A,MAXUM-PLUS,1026.0556
2200,ChipMOS,AAW008Y62017A,MAXUM-CU,0.0000
2200,ChipMOS,AAW008Y62017A,ICONN,1359.2180
2200,ChipMOS,AAW008Y62017A,MAXUM-BASE,1026.0556
