bd_id,cust,end_time,entity,lot_number,part_id,part_no,pin_pkg,prod_id,qty,start_time
AYZ084CC2002A,ZJP,588.000000,BB601,P10YZAD03,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAB096EL1002A,WINBOND,151.000000,BB602,P16ABA406,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AMS048TW1037A,MTI,157.000000,BB604,P15MSFR18,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
AMS048TW1037A,MTI,13.000000,BB606,P15MSFR16,1091A07T41,A0801CB1150,TSOP1-48AM,048TWMS046,0,0.000000
AMS078EN1001A,MTI,233.000000,BB607,P15MSEB06,1091A06T21,A0803CB1169,FBGA-78UEN,078ENMS009,0,0.000000
AMS096EF2001A,MTI,328.000000,BB608,P15MSDE03,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AMS096EF2001A,MTI,82.000000,BB609,P15MSCN02,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AYZ084CC2002A,ZJP,315.000000,BB610,P10YZAN07,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAB054TN1004A,WINBOND,79.000000,BB611,P15ABHJ04,1091A07T21,A0803CB0549,TSOP2-54ME,054TNAB029,0,0.000000
AHD048MA4001A,CHIPLUS,623.000000,BB612,P15HDA101,1091A08C41,A0801CB0373,MBGA48A2L,048MAHD002,0,0.000000
ABU096EA1001A,ICSI,290.000000,BB613,P15BUCC01,1091A07C21,A0801CB1021,FBGA-96LEA,096EABU001,0,0.000000
AMS096EF2001A,MTI,0.000000,BB614,P15MSCN04,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
ABU048MA7002A,ICSI,827.000000,BB615,P13BUHT02,1091A07C21,A0801CB1057,MINIBGA48J3U,048MABU065,0,0.000000
AB060NR1001A,WINBOND,565.000000,BB616,P15ABJG05,1091A08T21,A0801CB0569,VFBGA60B4L,060NRAB001,0,0.000000
